Estación,Material,Fecha,Registros Validados,Registros Preliminares,Registros No Validados
Consultorio_Mafil,nox,2008-12,,,
Consultorio_Mafil,nox,2009-01,,2.7472604037953423,
Consultorio_Mafil,nox,2009-02,,3.1751550812074822,
Consultorio_Mafil,nox,2009-03,,4.406288544254659,
Consultorio_Mafil,nox,2009-04,,4.913510590079365,
Consultorio_Mafil,nox,2009-05,,4.575833128440011,
Consultorio_Mafil,nox,2009-06,,2.5961154471681103,
Consultorio_Mafil,nox,2009-07,,,
Consultorio_Mafil,nox,2009-08,,,
Consultorio_Mafil,nox,2009-09,,,
Consultorio_Mafil,nox,2009-10,,,
Consultorio_Mafil,nox,2009-11,,,
Consultorio_Mafil,nox,2009-12,,,
Consultorio_Mafil,o3,2008-01,,,
Consultorio_Mafil,o3,2008-02,,,
Consultorio_Mafil,o3,2008-03,,,
Consultorio_Mafil,o3,2008-04,,,
Consultorio_Mafil,o3,2008-05,,,
Consultorio_Mafil,o3,2008-06,,,
Consultorio_Mafil,o3,2008-07,,,
Consultorio_Mafil,o3,2008-08,,,
Consultorio_Mafil,o3,2008-09,,,
Consultorio_Mafil,o3,2008-10,,,
Consultorio_Mafil,o3,2008-11,,,
Consultorio_Mafil,o3,2008-12,,,
Consultorio_Mafil,o3,2009-01,,13.251216125123152,
Consultorio_Mafil,o3,2009-02,,9.24021970110544,
Consultorio_Mafil,o3,2009-03,,10.92511539316436,
Consultorio_Mafil,o3,2009-04,,7.462788183011272,
Consultorio_Mafil,o3,2009-05,,8.451019732434442,
Consultorio_Mafil,o3,2009-06,,11.982734745467033,
Consultorio_Mafil,o3,2009-07,,,
Consultorio_Mafil,o3,2009-08,,,
Consultorio_Mafil,o3,2009-09,,,
Consultorio_Mafil,o3,2009-10,,,
Consultorio_Mafil,o3,2009-11,,,
Consultorio_Mafil,o3,2009-12,,,
Consultorio_Mafil,so2,2008-01,,,
Consultorio_Mafil,so2,2008-02,,,
Consultorio_Mafil,so2,2008-03,,,
Consultorio_Mafil,so2,2008-04,,,
Consultorio_Mafil,so2,2008-05,,,
Consultorio_Mafil,so2,2008-06,,,
Consultorio_Mafil,so2,2008-07,,,
Consultorio_Mafil,so2,2008-08,,,
Consultorio_Mafil,so2,2008-09,,,
Consultorio_Mafil,so2,2008-10,,,
Consultorio_Mafil,so2,2008-11,,,
Consultorio_Mafil,so2,2008-12,,,
Consultorio_Mafil,so2,2009-01,,0.8668030099268547,
Consultorio_Mafil,so2,2009-02,,1.0934875403911566,
Consultorio_Mafil,so2,2009-03,,1.2981982162058372,
Consultorio_Mafil,so2,2009-04,,1.2755793966829954,
Consultorio_Mafil,so2,2009-05,,1.3357087536867893,
Consultorio_Mafil,so2,2009-06,,1.188930029995608,
Consultorio_Mafil,so2,2009-07,,,
Consultorio_Mafil,so2,2009-08,,,
Consultorio_Mafil,so2,2009-09,,,
Consultorio_Mafil,so2,2009-10,,,
Consultorio_Mafil,so2,2009-11,,,
Consultorio_Mafil,so2,2009-12,,,
Fundo_La_Ribera,co,2008-01,,0.07373263548387095,
Fundo_La_Ribera,co,2008-02,,0.1351215551724138,
Fundo_La_Ribera,co,2008-03,,0.09774515172413792,
Fundo_La_Ribera,co,2008-04,,0.09803817999999999,
Fundo_La_Ribera,co,2008-05,,0.15359730645161287,
Fundo_La_Ribera,co,2008-06,,0.15273933846153848,
Fundo_La_Ribera,co,2008-07,,0.12594368709677417,
Fundo_La_Ribera,co,2008-08,,0.10915135666666669,
Fundo_La_Ribera,co,2008-09,,0.17492643928571422,
Fundo_La_Ribera,co,2008-10,,0.16981555161290324,
Fundo_La_Ribera,co,2008-11,,0.13870332,
Fundo_La_Ribera,co,2008-12,,0.10556993666666668,
Fundo_La_Ribera,co,2009-01,,0.12949795,
Fundo_La_Ribera,co,2009-02,,0.17189251600000002,
Fundo_La_Ribera,co,2009-03,,0.08920643225806453,
Fundo_La_Ribera,co,2009-04,,0.08407895357142856,
Fundo_La_Ribera,co,2009-05,,0.12785814444444443,
Fundo_La_Ribera,co,2009-06,,0.17430428461538464,
Fundo_La_Ribera,mp10,2008-01,,23.549151612903223,
Fundo_La_Ribera,mp10,2008-02,,32.00239655172414,
Fundo_La_Ribera,mp10,2008-03,,21.424162068965522,
Fundo_La_Ribera,mp10,2008-04,,17.69854133333333,
Fundo_La_Ribera,mp10,2008-05,,26.080486774193545,
Fundo_La_Ribera,mp10,2008-06,,18.558396153846157,
Fundo_La_Ribera,mp10,2008-07,,,
Fundo_La_Ribera,mp10,2008-08,,12.769111333333335,
Fundo_La_Ribera,mp10,2008-09,,19.684124999999995,
Fundo_La_Ribera,mp10,2008-10,,22.274329032258063,
Fundo_La_Ribera,mp10,2008-11,,19.76757333333334,
Fundo_La_Ribera,mp10,2008-12,,26.10375806451612,
Fundo_La_Ribera,mp10,2009-01,,26.90170000000001,
Fundo_La_Ribera,mp10,2009-02,,22.147391999999996,
Fundo_La_Ribera,mp10,2009-03,,26.072041935483877,
Fundo_La_Ribera,mp10,2009-04,,18.12339666666667,
Fundo_La_Ribera,mp10,2009-05,,18.96507777777778,
Fundo_La_Ribera,mp10,2009-06,,18.045020714285716,
Fundo_La_Ribera,no,2008-01,,0.6996731612903228,
Fundo_La_Ribera,no,2008-02,,1.0198369310344826,
Fundo_La_Ribera,no,2008-03,,1.6456515862068968,
Fundo_La_Ribera,no,2008-04,,1.2908057,
Fundo_La_Ribera,no,2008-05,,2.676560321428571,
Fundo_La_Ribera,no,2008-06,,4.090199384615384,
Fundo_La_Ribera,no,2008-07,,1.2366886896551725,
Fundo_La_Ribera,no,2008-08,,0.7317414642857142,
Fundo_La_Ribera,no,2008-09,,1.5453412142857144,
Fundo_La_Ribera,no,2008-10,,1.797385806451613,
Fundo_La_Ribera,no,2008-11,,1.500081666666667,
Fundo_La_Ribera,no,2008-12,,1.5462006451612902,
Fundo_La_Ribera,no,2009-01,,1.4887733928571425,
Fundo_La_Ribera,no,2009-02,,1.01099436,
Fundo_La_Ribera,no,2009-03,,1.1506020322580646,
Fundo_La_Ribera,no,2009-04,,1.7145175666666665,
Fundo_La_Ribera,no,2009-05,,1.5009354074074073,
Fundo_La_Ribera,no,2009-06,,1.498638714285714,
Fundo_La_Ribera,no2,2008-01,,0.3668603548387097,
Fundo_La_Ribera,no2,2008-02,,0.7371377931034482,
Fundo_La_Ribera,no2,2008-03,,0.9220293448275864,
Fundo_La_Ribera,no2,2008-04,,1.7679851666666664,
Fundo_La_Ribera,no2,2008-05,,3.2721351612903224,
Fundo_La_Ribera,no2,2008-06,,3.447726192307692,
Fundo_La_Ribera,no2,2008-07,,1.499323193548387,
Fundo_La_Ribera,no2,2008-08,,1.5034039999999993,
Fundo_La_Ribera,no2,2008-09,,1.5128816428571432,
Fundo_La_Ribera,no2,2008-10,,0.9323490322580643,
Fundo_La_Ribera,no2,2008-11,,0.6050734333333333,
Fundo_La_Ribera,no2,2008-12,,0.4456028387096774,
Fundo_La_Ribera,no2,2009-01,,0.9740346785714283,
Fundo_La_Ribera,no2,2009-02,,0.80500832,
Fundo_La_Ribera,no2,2009-03,,1.0763698709677418,
Fundo_La_Ribera,no2,2009-04,,0.8916537666666667,
Fundo_La_Ribera,no2,2009-05,,1.4406336666666666,
Fundo_La_Ribera,no2,2009-06,,1.5684614642857138,
Fundo_La_Ribera,nox,2008-01,,0.5681590322580645,
Fundo_La_Ribera,nox,2008-02,,0.814713896551724,
Fundo_La_Ribera,nox,2008-03,,1.2189573103448277,
Fundo_La_Ribera,nox,2008-04,,2.432137333333333,
Fundo_La_Ribera,nox,2008-05,,2.8978389032258063,
Fundo_La_Ribera,nox,2008-06,,3.8505763846153847,
Fundo_La_Ribera,nox,2008-07,,1.3314915806451613,
Fundo_La_Ribera,nox,2008-08,,1.091254366666667,
Fundo_La_Ribera,nox,2008-09,,1.5045747500000002,
Fundo_La_Ribera,nox,2008-10,,1.2847918387096775,
Fundo_La_Ribera,nox,2008-11,,0.8626566,
Fundo_La_Ribera,nox,2008-12,,0.7560714193548387,
Fundo_La_Ribera,nox,2009-01,,1.0026864642857143,
Fundo_La_Ribera,nox,2009-02,,0.87680632,
Fundo_La_Ribera,nox,2009-03,,1.0836840967741936,
Fundo_La_Ribera,nox,2009-04,,1.2657600666666666,
Fundo_La_Ribera,nox,2009-05,,1.3883505555555558,
Fundo_La_Ribera,nox,2009-06,,1.5502428571428568,
Fundo_La_Ribera,o3,2008-01,,7.7275789655172415,
Fundo_La_Ribera,o3,2008-02,,13.499858888888891,
Fundo_La_Ribera,o3,2008-03,,14.198752272727274,
Fundo_La_Ribera,o3,2008-04,,7.2314482608695645,
Fundo_La_Ribera,o3,2008-05,,12.950304166666667,
Fundo_La_Ribera,o3,2008-06,,19.924329999999998,
Fundo_La_Ribera,o3,2008-07,,17.97673838709677,
Fundo_La_Ribera,o3,2008-08,,21.919799655172415,
Fundo_La_Ribera,o3,2008-09,,13.360211333333332,
Fundo_La_Ribera,o3,2008-10,,19.613267741935484,
Fundo_La_Ribera,o3,2008-11,,16.73289,
Fundo_La_Ribera,o3,2008-12,,11.669174,
Fundo_La_Ribera,o3,2009-01,,11.812546896551725,
Fundo_La_Ribera,o3,2009-02,,13.108905555555557,
Fundo_La_Ribera,o3,2009-03,,10.441159354838707,
Fundo_La_Ribera,o3,2009-04,,11.673673666666668,
Fundo_La_Ribera,o3,2009-05,,13.91721608695652,
Fundo_La_Ribera,o3,2009-06,,13.42105,
Fundo_La_Ribera,so2,2008-01,,0.6823329545454546,
Fundo_La_Ribera,so2,2008-02,,0.8358724285714286,
Fundo_La_Ribera,so2,2008-03,,0.988795380952381,
Fundo_La_Ribera,so2,2008-04,,0.5519753333333334,
Fundo_La_Ribera,so2,2008-05,,0.5987325833333333,
Fundo_La_Ribera,so2,2008-06,,1.8087307727272728,
Fundo_La_Ribera,so2,2008-07,,0.9389654666666666,
Fundo_La_Ribera,so2,2008-08,,0.996514931034483,
Fundo_La_Ribera,so2,2008-09,,1.2521490370370372,
Fundo_La_Ribera,so2,2008-10,,0.8872545185185184,
Fundo_La_Ribera,so2,2008-11,,1.0869533666666666,
Fundo_La_Ribera,so2,2008-12,,1.2036784482758622,
Fundo_La_Ribera,so2,2009-01,,3.535607464285714,
Fundo_La_Ribera,so2,2009-02,,5.3659292,
Fundo_La_Ribera,so2,2009-03,,3.923978096774194,
Fundo_La_Ribera,so2,2009-04,,2.4931752333333335,
Fundo_La_Ribera,so2,2009-05,,1.6689269259259254,
Fundo_La_Ribera,so2,2009-06,,4.68926023076923,
La_Union,mp2.5,2017-10,,,17.10635754424454
La_Union,mp2.5,2017-11,,,11.565378614520492
La_Union,mp2.5,2017-12,,16.0,7.858554972550365
La_Union,mp2.5,2018-01,,7.057363022179955,1.0
La_Union,mp2.5,2018-02,,7.324044291629695,40.0
La_Union,mp2.5,2018-03,22.0,13.373909855922479,38.0
La_Union,mp2.5,2018-04,29.931516571402152,,94.66666666666667
La_Union,mp2.5,2018-05,44.38731990309831,,50.0
La_Union,mp2.5,2018-06,47.033873259448704,,18.0
La_Union,mp2.5,2018-07,60.426623528411746,36.6875,29.5
La_Union,mp2.5,2018-08,46.86347091431244,1.5,22.0
La_Union,mp2.5,2018-09,31.896638120333776,138.0,41.0
La_Union,mp2.5,2018-10,17.981413474077904,,5.5
La_Union,mp2.5,2018-11,11.412850241545893,36.5,35.5
La_Union,mp2.5,2018-12,7.288742236024844,3.888888888888889,31.5
La_Union,mp2.5,2019-01,6.945009350163627,,13.0
La_Union,mp2.5,2019-02,8.35430836053997,,15.0
La_Union,mp2.5,2019-03,11.332951881169198,,3.0
La_Union,mp2.5,2019-04,29.875846442875424,120.0,16.591269841269842
La_Union,mp2.5,2019-05,39.972762335840876,32.666666666666664,50.666666666666664
La_Union,mp2.5,2019-06,51.94803312629399,129.16666666666666,19.666666666666668
La_Union,mp2.5,2019-07,44.00923640623297,82.25925925925925,54.17777777777778
La_Union,mp2.5,2019-08,40.64100153002677,160.5,25.0
La_Union,mp2.5,2019-09,25.905058255186137,54.0,
La_Union,mp2.5,2019-10,16.40039107430412,1.0,9.497023809523808
La_Union,mp2.5,2019-11,9.79009661835749,,
La_Union,mp2.5,2019-12,6.241632666071656,19.0,
La_Union,mp2.5,2020-01,,4.841661287703487,5.111111111111112
La_Union,mp2.5,2020-02,,5.422466526477024,227.0
La_Union,mp2.5,2020-03,,7.295917803561562,6.333333333333333
La_Union,mp2.5,2020-04,,28.4896911663216,
La_Union,mp2.5,2020-05,,53.2065801776531,203.5
La_Union,mp2.5,2020-06,,33.67475845410628,44.5
La_Union,mp2.5,2020-07,,46.38515661524077,42.87222222222223
La_Union,mp2.5,2020-08,,49.49724807684134,11.0
La_Union,mp2.5,2020-09,,36.676630434782595,46.5
La_Union,mp2.5,2020-10,,19.13470810590376,3.095833333333333
La_Union,mp2.5,2020-11,,8.897204806687565,7.125
La_Union,mp2.5,2020-12,,5.638891671675681,17.666666666666668
La_Union,mp2.5,2021-01,,4.158193080878915,6.0
La_Union,mp2.5,2021-02,,5.156967579521926,42.0
La_Union,mp2.5,2021-03,,6.766821946169772,8.0
La_Union,mp2.5,2021-04,,20.88331686429513,
La_Union,mp2.5,2021-05,,49.81702898550725,34.0
Valdivia,co,2015-05,0.879201874196105,,
Valdivia,co,2015-06,0.9063558170410627,,9.45
Valdivia,co,2015-07,0.744222244387625,,6.516663333333334
Valdivia,co,2015-08,0.5951362262739599,,6.559991999999999
Valdivia,co,2015-09,0.6784433810386474,,4.5
Valdivia,co,2015-10,0.2943291840229078,,
Valdivia,co,2015-11,0.16361674763943787,,3.3499974999999997
Valdivia,co,2015-12,0.16517626910939692,,7.739998
Valdivia,co,2016-01,0.13148098484104725,,5.9249975
Valdivia,co,2016-02,0.13669383247542893,,4.359997999999999
Valdivia,co,2016-03,0.2001666727750861,,5.139998
Valdivia,co,2016-04,0.7231448820229468,,6.475
Valdivia,co,2016-05,1.4733824123388766,,4.963330333333333
Valdivia,co,2016-06,0.8602730711867542,,2.4625415462440476
Valdivia,co,2016-07,1.0133332666666666,,
Valdivia,co,2016-08,,,
Valdivia,co,2016-09,,,
Valdivia,co,2016-10,,,
Valdivia,co,2016-11,,,
Valdivia,co,2016-12,,,
Valdivia,co,2017-01,,,
Valdivia,co,2017-02,,,
Valdivia,co,2017-03,,,
Valdivia,co,2017-04,,,
Valdivia,co,2017-05,,,
Valdivia,co,2017-06,,,
Valdivia,co,2017-07,,,
Valdivia,co,2017-08,,,
Valdivia,co,2017-09,,,
Valdivia,co,2017-10,,,
Valdivia,co,2017-11,,,
Valdivia,co,2017-12,,,
Valdivia,co,2018-01,,,
Valdivia,co,2018-02,,,
Valdivia,co,2018-03,,,
Valdivia,co,2018-04,,,
Valdivia,co,2018-05,,,
Valdivia,co,2018-06,,0.4632165861513688,
Valdivia,co,2018-07,,0.9001167328463963,
Valdivia,co,2018-08,,0.752673562412342,
Valdivia,co,2018-09,,0.40552363868252606,
Valdivia,co,2018-10,,0.2620947705870567,
Valdivia,co,2018-11,,0.17524582627517404,
Valdivia,co,2018-12,,0.10636044880785418,
Valdivia,co,2019-01,,0.10457658634026101,0.10000000000000002
Valdivia,co,2019-02,,0.1793617548069779,
Valdivia,co,2019-03,,0.2621704223573913,
Valdivia,co,2019-04,,0.9011942431561997,
Valdivia,co,2019-05,,0.6129153944404555,
Valdivia,co,2019-06,,0.4045291062801933,
Valdivia,co,2019-07,,0.538105238552201,
Valdivia,co,2019-08,,0.6632293658889031,
Valdivia,co,2019-09,,0.344086001317523,0.1
Valdivia,co,2019-10,,0.4019626068376069,
Valdivia,co,2019-11,,0.2698538647342995,
Valdivia,co,2019-12,,0.17793149942624,0.04
Valdivia,co,2020-01,,0.23000701262272097,
Valdivia,co,2020-02,,0.30853019918612123,
Valdivia,co,2020-03,,0.1961859938798929,
Valdivia,co,2020-04,,0.7440832235397452,
Valdivia,co,2020-05,,0.9898908368396448,
Valdivia,co,2020-06,0.75375,0.8366886802810716,
Valdivia,co,2020-07,1.2719296400187006,,
Valdivia,co,2020-08,1.3619152233190397,,
Valdivia,co,2020-09,1.2248752587991718,0.835,
Valdivia,co,2020-10,0.6714653193930893,0.635,
Valdivia,co,2020-11,0.16016105935127678,,
Valdivia,co,2020-12,0.23530555032728948,,
Valdivia,co,2021-01,0.3375390865173474,,
Valdivia,co,2021-02,0.33974955298324855,,
Valdivia,co,2021-03,0.4017312351043067,,
Valdivia,co,2021-04,0.364541871807318,,
Valdivia,co,2021-05,0.27218181818181825,0.6904166666666667,
Valdivia,mp10,2008-01,,28.678040542270534,
Valdivia,mp10,2008-02,,33.62511890015221,
Valdivia,mp10,2008-03,,28.40503842741935,
Valdivia,mp10,2008-04,,52.47805236111109,
Valdivia,mp10,2008-05,,101.06536682361586,
Valdivia,mp10,2008-06,,99.4834737010582,
Valdivia,mp10,2008-07,,80.67028689516127,
Valdivia,mp10,2008-08,,57.39072025537634,
Valdivia,mp10,2008-09,,55.26707747420634,
Valdivia,mp10,2008-10,,33.69959340053763,
Valdivia,mp10,2008-11,,21.01916605555556,
Valdivia,mp10,2008-12,,24.3801169658719,
Valdivia,mp10,2009-01,,21.343816048387097,
Valdivia,mp10,2009-02,,22.945235267857147,
Valdivia,mp10,2009-03,,28.74246735215054,
Valdivia,mp10,2009-04,,41.53518650987496,23.86725
Valdivia,mp10,2009-05,,73.58880955132848,3.725
Valdivia,mp10,2009-06,,80.60447760494752,87.4391
Valdivia,mp10,2009-07,,121.04472483870967,
Valdivia,mp10,2009-08,,54.234683523524154,40.2164
Valdivia,mp10,2009-09,,63.50387641666666,
Valdivia,mp10,2009-10,,37.127763658541,3.683
Valdivia,mp10,2009-11,,30.335551694444455,
Valdivia,mp10,2009-12,,20.469783748792274,32.502270833333334
Valdivia,mp10,2010-01,,,19.32120287373891
Valdivia,mp10,2010-02,,,22.561401391800462
Valdivia,mp10,2010-03,,,25.48109013294236
Valdivia,mp10,2010-04,,,54.25219784537411
Valdivia,mp10,2010-05,,93.13990920564517,
Valdivia,mp10,2010-06,,80.63930894179893,
Valdivia,mp10,2010-07,,73.76087681899642,
Valdivia,mp10,2010-08,,82.64439090267578,
Valdivia,mp10,2010-09,,66.50761522105908,
Valdivia,mp10,2010-10,,36.42765043053197,
Valdivia,mp10,2010-11,,18.517680223976942,
Valdivia,mp10,2010-12,,17.792984979960895,
Valdivia,mp10,2011-01,,22.116661286770096,
Valdivia,mp10,2011-02,,33.66719350542441,
Valdivia,mp10,2011-03,,39.21191080065107,
Valdivia,mp10,2011-04,,42.30026632642824,
Valdivia,mp10,2011-05,,63.15111447033314,
Valdivia,mp10,2011-06,,103.03177820255858,
Valdivia,mp10,2011-07,,94.40063419965787,
Valdivia,mp10,2011-08,,95.47815020586296,
Valdivia,mp10,2011-09,,60.07130639953887,
Valdivia,mp10,2011-10,,49.02955639141097,
Valdivia,mp10,2011-11,,23.728369726010097,
Valdivia,mp10,2011-12,,28.328000450629485,
Valdivia,mp10,2012-01,,23.40331391009041,12.275000000000002
Valdivia,mp10,2012-02,,17.86868331017284,4.208333333333333
Valdivia,mp10,2012-03,,25.265166621104942,10.383332777777776
Valdivia,mp10,2012-04,,53.6180801730786,37.44784791666667
Valdivia,mp10,2012-05,,93.56453211309504,33.524997
Valdivia,mp10,2012-06,,78.04033729144706,
Valdivia,mp10,2012-07,,127.07742134769856,60.8767857142857
Valdivia,mp10,2012-08,,89.87617084199286,36.430768461538456
Valdivia,mp10,2012-09,,61.762577418529766,20.353838461538462
Valdivia,mp10,2012-10,,36.4958609914993,22.54908863636364
Valdivia,mp10,2012-11,,32.86101689190436,10.339998375
Valdivia,mp10,2012-12,,33.28106276446087,
Valdivia,mp10,2013-01,,,
Valdivia,mp10,2013-02,,,
Valdivia,mp10,2013-03,31.79166666666667,,
Valdivia,mp10,2013-04,79.40555555555557,,
Valdivia,mp10,2013-05,33.44097709209911,,7.75
Valdivia,mp10,2013-06,65.71741436100132,,39.166666666666664
Valdivia,mp10,2013-07,89.18695014662755,,37.0
Valdivia,mp10,2013-08,46.29436801670003,,9.805555555555555
Valdivia,mp10,2013-09,67.97041062801932,,5.5
Valdivia,mp10,2013-10,27.676951846657317,,80.25
Valdivia,mp10,2013-11,20.822222222222226,,
Valdivia,mp10,2013-12,21.005376344086024,,
Valdivia,mp10,2014-01,15.942204301075272,,
Valdivia,mp10,2014-02,21.429917184265005,,16.0
Valdivia,mp10,2014-03,19.947580645161295,,
Valdivia,mp10,2014-04,59.089318181818186,,114.41666666666667
Valdivia,mp10,2014-05,60.82398848229844,,31.278400000000005
Valdivia,mp10,2014-06,70.52252415458936,,23.5
Valdivia,mp10,2014-07,75.44805984104721,,30.38888888888889
Valdivia,mp10,2014-08,89.41713417484806,,76.4199
Valdivia,mp10,2014-09,63.02198067632848,,38.99495
Valdivia,mp10,2014-10,38.454141697479706,,17.614400325000002
Valdivia,mp10,2014-11,23.089089843925276,,22.493749452204586
Valdivia,mp10,2014-12,17.22223837922169,,31.701409627338002
Valdivia,mp10,2015-01,19.09289266133586,7.444444444444445,6.530360569791667
Valdivia,mp10,2015-02,26.60583248364182,14.524074074074074,4.0
Valdivia,mp10,2015-03,25.39724382676697,46.5,54.33
Valdivia,mp10,2015-04,64.10705839863162,9.0,72.75219
Valdivia,mp10,2015-05,101.90179979312761,114.562141,88.42775000000002
Valdivia,mp10,2015-06,99.69973947550035,17.571428571428573,26.25
Valdivia,mp10,2015-07,82.00759435165116,1.2222222222222223,48.25
Valdivia,mp10,2015-08,79.7606837073399,16.0,
Valdivia,mp10,2015-09,76.10176406926408,5.333333333333333,29.875
Valdivia,mp10,2015-10,43.81346816481256,13.493939393939398,41.375
